query_id,query,category,relevant_kb_ids,label_reason,returned_kb_ids,relevant_rank,hit_at_1,hit_at_3,reciprocal_rank,outcome,rank_1_kb_id,rank_1_title,rank_1_score,rank_2_kb_id,rank_2_title,rank_2_score,rank_3_kb_id,rank_3_title,rank_3_score,elapsed_ms
RQ-013,"My domain account is unlocked by support, then locks again within ten minutes even when I carefully enter the correct password.",account,KB-013,Repeated lockout shortly after an unlock is the defining pattern of KB-013.,KB-013,1,True,True,1.0,correct_at_rank_1,KB-013,Account repeatedly locks out during the day,0.799,,,,,,,485.723
RQ-014,"I replaced my phone and no longer have the old authenticator app, so I cannot approve the MFA request needed to sign in.",account,KB-014,Loss of the enrolled MFA device after a phone replacement matches KB-014.,KB-014,1,True,True,1.0,correct_at_rank_1,KB-014,Multi-factor authentication device lost or replaced,0.853,,,,,,,456.925
RQ-015,"During Teams calls I cannot hear anyone and Teams does not list my headset microphone, although the headset works in other applications.",software,KB-015,"Audio works elsewhere but is unavailable specifically in Teams, the pattern in KB-015.",KB-015,1,True,True,1.0,correct_at_rank_1,KB-015,No audio or microphone in Teams meetings,0.835,,,,,,,468.979
RQ-016,"Outlook says my mailbox quota is exceeded and every new message remains in the outbox, although incoming mail still arrives.",software,KB-016,A full mailbox preventing sends while receipt continues matches KB-016.,KB-016;KB-002,1,True,True,1.0,correct_at_rank_1,KB-016,Cannot send mail because mailbox is full,0.818,KB-002,Outlook not syncing after mailbox migration to cloud,0.705,,,,461.818
RQ-017,"The Start menu, taskbar and File Explorer have frozen, but other running programs still respond and the computer itself has not crashed.",software,KB-017,"The Windows shell is frozen while the wider machine remains responsive, which identifies KB-017.",KB-017,1,True,True,1.0,correct_at_rank_1,KB-017,Taskbar and File Explorer frozen but machine responds,0.854,,,,,,,617.676
RQ-018,"The same Windows update downloads each day, fails with an error during installation, rolls back and then asks to install again.",software,KB-018,A repeating install-fail-rollback cycle is the update failure pattern in KB-018.,KB-018,1,True,True,1.0,correct_at_rank_1,KB-018,Windows updates repeatedly fail to install,0.85,,,,,,,521.341
RQ-019,"My second monitor remains blank after docking and Windows display settings cannot detect it, even after reconnecting the display cable.",hardware,KB-019,An external display that is not detected through the dock or cable matches KB-019.,KB-019;KB-005,1,True,True,1.0,correct_at_rank_1,KB-019,External monitor not detected through dock or cable,0.838,KB-005,USB peripherals not working through docking station,0.714,,,,436.06
RQ-020,The laptop battery falls from full to empty in less than two hours and sometimes stops charging even though the power adapter is connected.,hardware,KB-020,Abnormal drain combined with intermittent failure to charge is covered by KB-020.,KB-020,1,True,True,1.0,correct_at_rank_1,KB-020,Laptop battery drains quickly or will not charge,0.819,,,,,,,468.21
RQ-021,"The finance shared drive now has a red cross and opening its mapped drive letter gives access denied, while local folders work normally.",network,KB-021,A mapped departmental share showing a red cross and access failure matches KB-021.,KB-021,1,True,True,1.0,correct_at_rank_1,KB-021,Shared network drive not accessible,0.88,,,,,,,462.249
RQ-022,"A business application worked yesterday, updated overnight, and now closes immediately every time it is launched.",software,KB-022,Immediate startup crashes beginning after an application update match KB-022.,KB-022;KB-018,1,True,True,1.0,correct_at_rank_1,KB-022,Application crashes immediately after an update,0.858,KB-018,Windows updates repeatedly fail to install,0.724,,,,435.416
RQ-023,"Copying a large file to the department network share starts slowly, drops to almost zero speed and eventually times out.",performance,KB-023,"The problem is transfer performance to a network share rather than loss of access, which identifies KB-023.",KB-023,1,True,True,1.0,correct_at_rank_1,KB-023,File transfers to the network share are very slow,0.867,,,,,,,595.514
RQ-024,I received an unexpected invoice email whose sender address looks unusual and whose link asks me to enter my company password.,security,KB-024,An unexpected credential-harvesting invoice message is the phishing case covered by KB-024.,KB-024,1,True,True,1.0,correct_at_rank_1,KB-024,User reports a suspected phishing email,0.827,,,,,,,444.102
RQ-025,"My browser homepage changed without permission, searches redirect to unfamiliar sites, and a toolbar extension appeared that I never installed.",security,KB-025,"Unauthorized homepage, redirects, and extension changes match the browser-hijack pattern in KB-025.",KB-025,1,True,True,1.0,correct_at_rank_1,KB-025,Browser homepage changed and unknown extension installed,0.835,,,,,,,465.86
RQ-026,A Bluetooth mouse no longer appears in the list of nearby devices and will not pair after I removed its previous connection.,hardware,KB-026,A discoverability and pairing failure for a Bluetooth peripheral matches KB-026.,KB-026,1,True,True,1.0,correct_at_rank_1,KB-026,Bluetooth headset or mouse will not pair,0.809,,,,,,,463.202
RQ-027,"The VPN client reports Connected from home, but every internal business application times out; those applications work normally in the office.",network,KB-027,"The VPN tunnel connects successfully but internal routes fail, distinguishing KB-027 from authentication failure in KB-001.",KB-027;KB-009;KB-010,1,True,True,1.0,correct_at_rank_1,KB-027,VPN connects but internal applications are unreachable,0.858,KB-009,Internet connection keeps dropping on corporate laptop,0.765,KB-010,Internal sites unreachable but public internet works,0.763,499.003
RQ-028,"While working from home I was told my password has expired, but the sign-in screen will not let me change it unless I connect to the company network.",account,KB-028,An expired password that cannot be changed while off-network is the remote-access pattern in KB-028.,KB-028;KB-013,1,True,True,1.0,correct_at_rank_1,KB-028,Password expired while working remotely,0.866,KB-013,Account repeatedly locks out during the day,0.703,,,,647.755
RQ-029,Windows displayed a SMART disk-health warning and advised me to back up my files; the laptop also makes clicking sounds and sometimes freezes.,hardware,KB-029,"SMART warnings, backup advice, clicking, and freezes indicate the disk-health issue in KB-029.",KB-029,1,True,True,1.0,correct_at_rank_1,KB-029,Disk health warning reported on user laptop,0.869,,,,,,,515.807
RQ-030,"At about the same time every morning the antivirus process uses nearly all CPU, the fan becomes loud and the laptop is unusable until its scan ends.",performance,KB-030,A scheduled antivirus scan causing a repeated high-CPU slowdown matches KB-030.,KB-030;KB-008;KB-012,1,True,True,1.0,correct_at_rank_1,KB-030,Antivirus scan makes the machine unusable during work hours,0.862,KB-008,Chrome using excessive memory and slowing the machine,0.704,KB-012,Laptop very slow to start up and log in,0.7,459.538
